Accession,BioSample,Organism_Name,Species,Isolate,Segment,GenBank_Title,Length,Nuc_Completeness,Geo_Location,Country,Host,Submitters,Collection_Date
MK540404.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT052,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT052, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-03-13
MK540405.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT053,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT053, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-03-13
MK540406.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT054,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT054, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013
MK540407.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT054M,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT054M, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013
MK540408.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT055,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT055, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-04-15
MK540409.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT055M,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT055M, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013
MK540410.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT056,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT056, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013
MK540411.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT056M,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT056M, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013
MK540412.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT057,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT057, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-04-11
MK540413.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT057M,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT057M, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-04-11
MK540414.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT058,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT058, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013
MK540415.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT058M,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT058M, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013
MK540416.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT059,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT059, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-09-18
MK540417.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT060,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT060, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-09-18
MK540418.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT061,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT061, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-09-25
MK540419.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT062,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT062, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-09-25
MK540420.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT063,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT063, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-10-09
MK540421.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT064,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT064, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-10-09
MK540422.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT065,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT065, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-10-09
MK540423.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT066,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT066, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-10-22
MK540424.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT067,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT067, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-10-23
MK540425.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT068,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT068, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-11-13
MK540426.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT069,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT069, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-11-13
MK540427.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT070,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT070, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-11-20
MK540428.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT071,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT071, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-11-27
MK540429.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT072,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT072, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-11-27
MK540430.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT073,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT073, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-11-27
MK540431.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT074,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT074, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2014-02-18
MK540432.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT074S,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT074S, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2014-02-18
MK540433.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT075,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT075, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-09-16
MK540434.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT076,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT076, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-09-23
MK540435.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT077,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT077, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-09-23
MK540436.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT078,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT078, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-09-23
MK540437.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT080,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT080, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-10-16
MK540438.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT081,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT081, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-10-24
MK540439.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT082,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT082, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-10-24
MK540440.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT083,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT083, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-10-24
MK540441.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT084,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT084, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-10-24
MK540442.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT085,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT085, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-11-06
